Tryk hPa,Temperatur C,Mï¿½ling nr.,Afstand fra overflade (1m +),pC,nc
1013.3,23,1,1.5,1787,17.87
1013.0,24,2,1.7,1829,18.29
,,3,1.9,1855,18.55
,,4,2.1,1870,18.70
,,5,2.3,1879,18.79
,,6,2.5,1880,18.80
,,7,2.7,1877,18.77
,,8,2.9,1870,18.70
,,9,3.1,1866,18.66
,,10,3.3,1856,18.56
,,11,3.5,1844,18.44
,,12,3.7,1831,18.31
,,13,3.9,1816,18.16
,,14,4.1,1803,18.03
,,15,4.3 ,1789,17.89
,,16,4.8,1752,17.52
,,17,5.3,1716,17.16
,,18,5.8,1680,16.80
,,19,6.3,1643,16.43
,,20,6.8,1608,16.08
,,21,7.3,1574,15.74
,,22,7.8,1540,15.40
,,23,8.3,1506,15.06
,,24,8.8,1473,14.73
,,25,9.3,1441,14.41
,,26,9.8,1408,14.08
,,27,10.3,1377,13.77
,,28,11.3,1316,13.16
,,29,12.3,1258,12.58
,,30,13.3,1202,12.02
,,31,14.3,1146,11.46
,,32,15.3 ,1094,10.94
,,,,,
